Serial Number,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
1,97,Yes,No,Yes,Purchased the book,No,Yes
2,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
3,97,No,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
4,97,Yes,No,Yes,Borrowed the book from a library,Yes,No
5,97,Yes,Yes,No,Purchased the book,Yes,No
6,97,Yes,Yes,Yes,Purchased the book,No,No
7,97,Yes,No,No,Borrowed the book from a library,Yes,No
8,97,Yes,No,No,Purchased the book,Yes,Yes
9,97,Yes,No,Yes,Purchased the book,Yes,No
10,97,Yes,No,Yes,Borrowed the book from a friend or family member,No,No
11,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
12,97,Yes,No,No,Got the book some other way,Yes,Yes
13,97,Yes,No,Yes,Borrowed the book from a library,No,Yes
14,97,Yes,No,No,Purchased the book,Yes,Yes
15,97,Yes,No,No,Borrowed the book from a library,Yes,No
16,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
17,97,Yes,No,No,Purchased the book,Yes,Yes
18,97,Yes,No,No,Purchased the book,Yes,Yes
19,97,Yes,No,No,Borrowed the book from a library,No,No
20,97,Yes,No,No,Borrowed the book from a library,Yes,No
21,97,Yes,No,No,Borrowed the book from a library,No,No
22,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
23,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
24,97,Yes,No,Yes,Purchased the book,No,No
25,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
26,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
27,97,Yes,No,No,Purchased the book,Yes,Yes
28,97,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
29,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
30,97,Yes,No,No,Borrowed the book from a library,Yes,No
31,97,Yes,No,No,Purchased the book,Yes,Yes
32,97,Yes,No,Yes,Purchased the book,Yes,Yes
33,97,Yes,No,No,Purchased the book,Yes,Yes
34,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
35,97,Yes,No,No,Borrowed the book from a library,Yes,No
36,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
37,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
38,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
39,97,Yes,No,No,Got the book some other way,Yes,Yes
40,97,Yes,No,Yes,Purchased the book,Yes,Yes
41,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
42,97,Yes,No,No,Purchased the book,Yes,No
43,97,Yes,No,Don’t know,Purchased the book,No,No
44,97,Yes,No,Yes,Borrowed the book from a library,Yes,No
45,97,Yes,No,No,Purchased the book,No,No
46,97,Yes,No,No,Purchased the book,Yes,Yes
47,97,Yes,No,No,Got the book some other way,Yes,Yes
48,97,Yes,No,Yes,Purchased the book,Yes,Yes
49,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
50,97,Yes,Yes,No,Purchased the book,Yes,Yes
51,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
52,97,Yes,No,Yes,Purchased the book,Yes,Yes
53,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
54,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
55,97,Yes,No,Yes,Purchased the book,Yes,Yes
56,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
57,97,Yes,No,No,Purchased the book,Yes,Yes
58,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
59,97,Yes,Yes,Yes,Purchased the book,No,Yes
60,97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
61,97,Yes,No,Yes,Purchased the book,Yes,Yes
62,97,Yes,No,Yes,Purchased the book,Yes,Yes
63,97,Yes,Yes,No,Purchased the book,Yes,No
64,97,Yes,Yes,No,Purchased the book,Yes,Yes
65,97,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
66,97,Yes,No,Yes,Purchased the book,Yes,Yes
67,97,Yes,No,No,Purchased the book,No,No
68,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
69,97,Yes,No,No,Borrowed the book from a library,Yes,No
70,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
71,97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
